Drone ID,Start Time,End Time,Total Time (minutes),Total Distance (km),Number of Alerts,Cities Passed
17314,2023-11-21 18:12:00,2023-11-21 18:12:00,0.0,16.661795832921896,6,"['אזור תעשייה אכזיב מילואות', 'בצת', 'לימן', 'מצובה', 'ראש הנקרה', 'שלומי']"
17316,2023-11-21 18:14:00,2023-11-21 18:14:00,0.0,8.696015105292721,3,"[""דוב''ב"", 'מתת', 'סאסא']"
17328,2023-11-21 18:44:00,2023-11-21 18:44:00,0.0,17.993707095528638,6,"['קיבוץ דן', 'דפנה', 'הגושרים', ""ע'ג'ר"", 'שאר ישוב', 'שניר']"
17332,2023-11-21 23:37:00,2023-11-21 23:37:00,0.0,0.0,1,['חניתה']
17336,2023-11-21 23:46:00,2023-11-21 23:46:00,0.0,0.0,1,['ראש הנקרה']
17373,2023-11-22 16:04:00,2023-11-22 16:04:00,0.0,0.0,1,['אילת']
17451,2023-11-24 11:44:00,2023-11-24 11:44:00,0.0,4.859251693419353,3,"['אזור תעשייה שחורת', 'אילות', 'אילת']"
17453,2023-11-25 06:52:00,2023-11-25 06:52:00,0.0,39.51615163325526,5,"['דישון', 'יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי']"
17459,2023-11-30 10:47:00,2023-11-30 10:47:00,0.0,8.696015105292721,3,"[""דוב''ב"", 'מתת', 'סאסא']"
17614,2023-12-01 19:23:00,2023-12-01 19:23:00,0.0,15.87334873727359,6,"['הילה', 'חוסן', 'כפר ורדים', 'מעונה', 'מעיליא', 'מעלות תרשיחא']"
18036,2023-12-08 14:30:00,2023-12-08 14:30:00,0.0,91.93760111542208,18,"['בית הלל', 'עמיר', 'נאות מרדכי', 'להבות הבשן', 'כפר סאלד', 'כפר בלום', 'גונן', 'תל חי', 'קריית שמונה', 'משגב עם', 'מרגליות', 'מעיין ברוך', 'מנרה', 'מטולה', 'כפר יובל', 'כפר גלעדי', 'שדה נחמיה', 'שמיר']"
18131,2023-12-10 10:01:00,2023-12-10 10:01:00,0.0,44.93166311175423,11,"['אבן מנחם', 'אדמית', 'אילון', 'גורן', 'גורנות הגליל', 'זרעית', 'חניתה', 'יערה', 'ערב אל עראמשה', 'שומרה', 'שתולה']"
18218,2023-12-12 11:22:00,2023-12-12 11:22:00,0.0,20.00198172499835,7,"['אדמית', 'אילון', 'גורן', 'גורנות הגליל', 'חניתה', 'יערה', 'ערב אל עראמשה']"
18220,2023-12-12 11:27:00,2023-12-12 11:27:00,0.0,9.624633518999948,4,"['אבירים', 'אלקוש', 'נטועה', 'פסוטה']"
18232,2023-12-12 11:42:00,2023-12-12 11:42:00,0.0,7.814725786629763,4,"['שתולה', 'שומרה', 'זרעית', 'אבן מנחם']"
18346,2023-12-16 11:03:00,2023-12-16 11:03:00,0.0,116.14930466601508,13,"['גונן', 'דישון', 'יפתח', 'כפר בלום', 'כפר סאלד', 'להבות הבשן', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'נאות מרדכי', 'עמיר', 'רמות נפתלי', 'שדה נחמיה', 'שמיר']"
18348,2023-12-16 11:04:00,2023-12-16 11:04:00,0.0,31.644170657041457,8,"['גונן', 'כפר בלום', 'כפר סאלד', 'להבות הבשן', 'נאות מרדכי', 'עמיר', 'שדה נחמיה', 'שמיר']"
18383,2023-12-18 11:38:00,2023-12-18 11:38:00,0.0,39.51615163325526,5,"['דישון', 'יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי']"
18395,2023-12-18 14:58:00,2023-12-18 14:58:00,0.0,39.51615163325526,5,"['דישון', 'יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי']"
18397,2023-12-18 15:56:00,2023-12-18 15:56:00,0.0,39.51615163325526,5,"['דישון', 'יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי']"
18410,2023-12-19 13:34:00,2023-12-19 13:34:00,0.0,28.98543342138868,7,"['איילת השחר', 'גדות', 'חולתה', 'יסוד המעלה', 'משמר הירדן', 'עמוקה', 'שדה אליעזר']"
18418,2023-12-19 14:34:00,2023-12-19 14:35:00,1.0,41.17878143716684,11,"[""דוב''ב"", 'מתת', 'סאסא', 'אביבים', 'ברעם', 'יראון', 'אזור תעשייה רמת דלתון', 'דלתון', 'כרם בן זמרה', 'עלמה', 'ריחאנייה']"
